dataset,n_complete_case,discordance_rate,obj_resp_rate,subj_resp_rate
MAIN (interpolation),138,0.050724637681159424,0.547486033519553,0.782608695652174
SENS (LOCF),140,0.05,0.547486033519553,0.7785714285714286
