outcome,rs_model_used,singular_full_rs,p_LRT,AIC_RI,AIC_RS
MMDs,(MONTH_num || SUBJECT_ID),TRUE,0.3552409210091226,10675.917511349915,10677.062863929517
HIT-6,(MONTH_num | SUBJECT_ID),FALSE,7.736239545884957e-6,12164.514701666338,12144.975511995919
