dataset,n,discordance_rate,obj_resp_rate,subj_resp_rate
MAIN (interpolation),179,0.09497206703910614,0.4692737430167598,0.5139664804469274
SENS (LOCF),179,0.12849162011173185,0.547486033519553,0.6089385474860335
