CYCLE,MONTH,n_MMDs,mean_MMDs,se_MMDs,n_HIT6,mean_HIT6,se_HIT6
1,1,179,23.43016759776536,0.4549188235189238,140,67.96428571428571,0.5049000098709637
1,3,179,13.083798882681563,0.6998960398953687,140,59.95,0.7004861767831947
1,6,179,11.960893854748608,0.7322636831045564,140,56.8,0.7698854041072273
1,9,179,12.804469273743017,0.7038403676191304,140,56.107142857142854,0.8060470601413613
1,12,179,12.564245810055866,0.7009774458651192,140,41.64285714285717,2.155970496067802
2,1,81,18.049382716049383,0.7005071431346619,115,63.76521739130435,0.8199765986858801
2,3,95,9.778947368421052,0.6804219340741356,115,58.56521739130435,0.6860415461310938
2,6,95,8.736842105263158,0.6503010804661915,115,55.56521739130435,0.7779503703718181
2,9,95,9.36842105263158,0.7041792744192353,115,55.51304347826087,0.7797362320147749
2,12,104,9.66346153846154,0.6996225613340983,117,55.85470085470085,0.7403236638205194
3,1,79,15.025316455696203,0.729134660168905,79,61.911392405063296,0.8307209699403546
3,3,79,8.873417721518987,0.6957391275904842,79,55.379746835443036,1.0528556240522529
3,6,79,8.455696202531644,0.7106089631152502,79,53.139240506329116,1.2704330196900284
3,9,79,8.164556962025317,0.6340010094800267,79,48.822784810126585,1.963539740730437
3,12,79,7.848101265822785,0.6165226392842852,79,49.164556962025316,1.8916985304232452
