model,term,MAIN,SENS,sign_MAIN,sign_SENS,sign_match
HIT6,(Intercept),64.47237964553743,64.79601512288389,1,1,TRUE
HIT6,CYCLE2,3.0246391228100964,2.358689834161261,1,1,TRUE
HIT6,CYCLE3,-0.6310510887195393,-1.0416446180058414,-1,-1,TRUE
HIT6,MONTH_num,-1.5206299014645908,-1.3240417757842524,-1,-1,TRUE
MMDs,(Intercept),18.76273064961424,18.671267480076185,1,1,TRUE
MMDs,CYCLE2,-1.2813919289475935,-0.9965967412935116,-1,-1,TRUE
MMDs,CYCLE3,-2.2694055236831954,-2.0067726071548684,-1,-1,TRUE
MMDs,MONTH_num,-0.7078242550769818,-0.6294439348833867,-1,-1,TRUE
