effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),56.585606264874244,0.5907452660103557,95.78681289657986,307.04172013074253,9.195568933138371e-231,55.423184854158286,57.7480276755902
fixed,CYCLE2,2.381352403417445,0.7040865615959647,3.3821869828328976,1540.1198526963715,7.371269585880535e-4,1.0002827465911133,3.7624220602437766
fixed,CYCLE3,-1.0109632205001462,0.7508938375445152,-1.3463464073777451,1668.7629729496798,0.1783736695294591,-2.4837563114660193,0.4618298704657269
fixed,MONTH.L,-11.923016410703628,0.6116116341397468,-19.494423822518954,1483.321342402229,1.5537140010650962e-75,-13.122732119798382,-10.723300701608874
fixed,MONTH.Q,0.8729210361151263,0.6117999797158369,1.4268078866569633,1483.1773517506733,0.15384574761676748,-0.32716422013061086,2.0730062923608634
fixed,MONTH.C,-2.631175370129559,0.6121059176717353,-4.298562216385278,1482.9436725421313,1.8311759379143336e-5,-3.8318608979982067,-1.430489842260911
fixed,MONTH^4,-0.45484867358017556,0.6122470682434195,-0.7429168666910384,1482.8359479973228,0.45764969020542545,-1.6558111487325786,0.7461138015722275
