effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model
fixed,(Intercept),5.710705237194601,0.4579744334047222,12.469484802327214,195.37359549353772,1.233455256833932e-26,4.807496988901871,6.6139134854873305,hadsa_sens
fixed,CYCLE2,-0.5572158946437835,0.41739038289066804,-1.3349993614724507,869.0786244774434,0.18222614678521082,-1.3764268992125734,0.2619951099250064,hadsa_sens
fixed,CYCLE3,-0.565217391304363,0.4276976106119771,-1.3215350688904102,781.65808800102,0.18670968011555522,-1.4047893112752174,0.27435452866649146,hadsa_sens
fixed,MONTH.L,-1.057727355297701,0.3477051474513716,-3.0420238614547106,781.6580881155526,0.002428517517475414,-1.7402737876046945,-0.37518092299070716,hadsa_sens
fixed,MONTH.Q,0.7557042012696156,0.3477051474513721,2.1734052740053373,781.6580881155571,0.030049386259075203,0.07315776896262094,1.4382506335766103,hadsa_sens
fixed,MONTH.C,0.2344447230814493,0.3477051474513716,0.6742630208379001,781.6580881155526,0.5003434617504299,-0.44810170922554443,0.9169911553884431,hadsa_sens
fixed,MONTH^4,-0.09548090614797744,0.347705147451372,-0.2746030849639085,781.6580881094931,0.7836937553225887,-0.7780273384549801,0.5870655261590252,hadsa_sens
fixed,(Intercept),5.192010761124784,0.47055818334294736,11.033727485599366,120.8176792708625,5.26090373812194e-20,4.260402522620594,6.123618999628975,hadsd_sens
fixed,CYCLE2,0.34884980896247203,0.2707372101794585,1.2885181491352315,823.2670763586343,0.19792764197959173,-0.182566639162224,0.880266257087168,hadsd_sens
fixed,CYCLE3,0.6043478260869407,0.2676770209998971,2.257750119264713,783.9895983436952,0.024235528593160877,0.07889931190324806,1.1297963402706332,hadsd_sens
fixed,MONTH.L,-0.8687176560692447,0.21761327570415648,-3.99202508789151,783.9895984422914,7.166340154297619e-5,-1.295891314675588,-0.4415439974629013,hadsd_sens
fixed,MONTH.Q,0.611321691270949,0.2176132757041568,2.8092113833258736,783.9895984412407,0.005089913694549263,0.1841480326646041,1.038495349877294,hadsd_sens
fixed,MONTH.C,-0.2707927421638436,0.21761327570415648,-1.2443760211209915,783.9895984422914,0.21373308693994417,-0.6979664007701869,0.1563809164424998,hadsd_sens
fixed,MONTH^4,0.2617138506645991,0.21761327570415673,1.202655719499378,783.9895984412397,0.2294726611185695,-0.1654598079417457,0.6888875092709439,hadsd_sens
