effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),55.10507942566022,0.5735676645798832,96.07424342169398,422.929543578924,2.207437196568923e-289,53.9776811686611,56.232477682659344
fixed,CYCLE2,3.002921069887735,0.7120603625480824,4.217228240513052,1501.1794591429157,2.6210276005858717e-5,1.6061822633485219,4.399659876426948
fixed,CYCLE3,-0.6516973375896435,0.7651639884546293,-0.8517093687404843,1548.4906154895498,0.3945071153595747,-2.152564321565998,0.8491696463867111
fixed,MONTH.L,-13.596560199135457,0.6538224554067709,-20.79549285390704,1446.264303675587,3.0340063808160023e-84,-14.879101995482712,-12.314018402788202
fixed,MONTH.Q,0.2285951602113857,0.647661860190202,0.35295448792407363,1411.8012002033854,0.7241752497940028,-1.0418879538151358,1.499078274237907
fixed,MONTH.C,-2.705664230737308,0.6470841689869328,-4.181317300612165,1411.5872615114154,3.0766296250600714e-5,-3.9750142843581817,-1.4363141771164343
fixed,MONTH^4,-0.5085503795332126,0.6448712952442646,-0.788607561359331,1411.8915566646285,0.4304738004290385,-1.773559324322831,0.7564585652564059
